,Timestamp,"PM2.5 
(µg/m³)","NO2
 (µg/m³)","SO2
 (µg/m³)","CO
 (mg/m³)","Ozone
 (µg/m³)",,"sub index
 pm 2.5","sub index 
No2","sub index
 So2","sub index
 CO","sub index 
O3",,Overall AQI
0,01-01-2017,89.26,43.59,15.19,1.4,71.84,,197.5333333,54.4875,18.9875,70,71.84,,197.5333333
1,02-01-2017,75,56.26,18.19,1.41,66.12,,150,70.325,22.7375,70.5,66.12,,150
2,03-01-2017,90.83,54.73,27.51,1.34,66.67,,202.7666667,68.4125,34.3875,67,66.67,,202.7666667
3,04-01-2017,100.32,54.99,41.68,1.23,78.99,,234.4,68.7375,52.1,61.5,78.99,,234.4
4,05-01-2017,92.87,52.84,32.06,1.16,67.64,,209.5666667,66.05,40.075,58,67.64,,209.5666667
5,06-01-2017,116.06,70.36,38.56,1.64,56.07,,286.8666667,87.95,48.2,82,56.07,,286.8666667
6,07-01-2017,90.05,57.27,18.97,1.56,57.5,,200.1666667,71.5875,23.7125,78,57.5,,200.1666667
7,08-01-2017,64.94,27.7,12.73,1.1,76.27,,116.4666667,34.625,15.9125,55,76.27,,116.4666667
8,09-01-2017,46.21,23.11,5.05,3.08,74.67,,77.01666667,28.8875,6.3125,113.5,74.67,,113.5
9,10-01-2017,46.21,28.7,8.21,0.67,26.38,,77.01666667,35.875,10.2625,33.5,26.38,,77.01666667
10,11-01-2017,58.22,36.6,17.77,0.58,100.52,,97.03333333,45.75,22.2125,29,100.7647059,,100.7647059
11,12-01-2017,83.16,39.73,31.56,1.1,97.23,,177.2,49.6625,39.45,55,97.23,,177.2
12,13-01-2017,84.28,29.21,20.43,1.07,97.22,,180.9333333,36.5125,25.5375,53.5,97.22,,180.9333333
13,14-01-2017,72.2,20.55,6.6,1.38,101.27,,140.6666667,25.6875,8.25,69,101.8676471,,140.6666667
14,15-01-2017,80.92,29.81,6.54,0.81,86.47,,169.7333333,37.2625,8.175,40.5,86.47,,169.7333333
15,16-01-2017,71.14,42.66,11.17,0.81,71.3,,137.1333333,53.325,13.9625,40.5,71.3,,137.1333333
16,17-01-2017,80.81,49.31,10.19,0.81,62.12,,169.3666667,61.6375,12.7375,40.5,62.12,,169.3666667
17,18-01-2017,63.8,36.04,7.86,0.67,81.38,,112.6666667,45.05,9.825,33.5,81.38,,112.6666667
18,19-01-2017,84.65,44.7,7.23,0.85,67.93,,182.1666667,55.875,9.0375,42.5,67.93,,182.1666667
19,20-01-2017,74.26,50.89,11.74,0.85,69.02,,147.5333333,63.6125,14.675,42.5,69.02,,147.5333333
20,21-01-2017,75.35,67.27,4.77,1.08,49.34,,151.1666667,84.0875,5.9625,54,49.34,,151.1666667
21,22-01-2017,82.56,53.97,2.25,1.45,62.47,,175.2,67.4625,2.8125,72.5,62.47,,175.2
22,23-01-2017,85.44,43.02,11.92,1.23,81.41,,184.8,53.775,14.9,61.5,81.41,,184.8
23,24-01-2017,85.74,51.96,11.05,1.17,79.68,,185.8,64.95,13.8125,58.5,79.68,,185.8
24,25-01-2017,82.27,41.21,10.17,1.18,92.52,,174.2333333,51.5125,12.7125,59,92.52,,174.2333333
25,26-01-2017,84.01,22.72,8.96,1.04,100.7,,180.0333333,28.4,11.2,52,101.0294118,,180.0333333
26,27-01-2017,67.7,32.3,10.48,1.17,88.42,,125.6666667,40.375,13.1,58.5,88.42,,125.6666667
27,28-01-2017,76.45,33.63,9.38,1.09,76.96,,154.8333333,42.0375,11.725,54.5,76.96,,154.8333333
28,29-01-2017,76.01,34.96,9.76,1.08,90.5,,153.3666667,43.7,12.2,54,90.5,,153.3666667
29,30-01-2017,70.24,69.19,10.9,1.43,65.43,,134.1333333,86.4875,13.625,71.5,65.43,,134.1333333
30,31-01-2017,96.27,65.31,11.2,1.53,62.89,,220.9,81.6375,14,76.5,62.89,,220.9
31,01-02-2017,71.91,51.53,10.11,1.32,66.02,,139.7,64.4125,12.6375,66,66.02,,139.7
32,02-02-2017,66.05,35.78,10,1.11,69.87,,120.1666667,44.725,12.5,55.5,69.87,,120.1666667
33,03-02-2017,75.33,48.78,10.35,1.31,63.91,,151.1,60.975,12.9375,65.5,63.91,,151.1
34,04-02-2017,91.65,63.59,10.6,1.37,61.28,,205.5,79.4875,13.25,68.5,61.28,,205.5
35,05-02-2017,85,51.25,10.77,1.35,87.59,,183.3333333,64.0625,13.4625,67.5,87.59,,183.3333333
36,06-02-2017,75.56,54.32,11.19,1.27,80.77,,151.8666667,67.9,13.9875,63.5,80.77,,151.8666667
37,07-02-2017,119.65,62.2,10.29,1.47,76.95,,298.8333333,77.75,12.8625,73.5,76.95,,298.8333333
38,08-02-2017,110.57,62.29,11.38,1.31,71.76,,268.5666667,77.8625,14.225,65.5,71.76,,268.5666667
39,09-02-2017,90.65,56.74,9.74,1.35,83.8,,202.1666667,70.925,12.175,67.5,83.8,,202.1666667
40,10-02-2017,76.15,44.4,12.4,1.34,104.53,,153.8333333,55.5,15.5,67,106.6617647,,153.8333333
41,11-02-2017,59.12,25.75,9.59,0.94,99.56,,98.53333333,32.1875,11.9875,47,99.56,,99.56
42,12-02-2017,47.42,21.4,9.38,0.9,71.02,,79.03333333,26.75,11.725,45,71.02,,79.03333333
43,13-02-2017,51.34,28.71,11.56,0.98,68.15,,85.56666667,35.8875,14.45,49,68.15,,85.56666667
44,14-02-2017,72.25,48.44,14.3,1.17,56.04,,140.8333333,60.55,17.875,58.5,56.04,,140.8333333
45,15-02-2017,78.11,52.36,15.1,1.27,55.89,,160.3666667,65.45,18.875,63.5,55.89,,160.3666667
46,16-02-2017,89.18,57.59,15.02,1.34,61.96,,197.2666667,71.9875,18.775,67,61.96,,197.2666667
47,17-02-2017,110.38,70.64,14.16,1.47,57.46,,267.9333333,88.3,17.7,73.5,57.46,,267.9333333
48,18-02-2017,116.27,66.45,16.12,1.74,50.26,,287.5666667,83.0625,20.15,87,50.26,,287.5666667
49,19-02-2017,96.15,69.82,13.05,1.55,54.37,,220.5,87.275,16.3125,77.5,54.37,,220.5
50,20-02-2017,151.28,73.24,27.44,2.8,58.96,,324.0615385,91.55,34.3,110,58.96,,324.0615385
51,21-02-2017,97.5,71.04,15.63,1.79,70.37,,225,88.8,19.5375,89.5,70.37,,225
52,22-02-2017,86.83,59.08,14.19,1.35,86.12,,189.4333333,73.85,17.7375,67.5,86.12,,189.4333333
53,23-02-2017,119.65,71.37,15.65,1.61,71.84,,298.8333333,89.2125,19.5625,80.5,71.84,,298.8333333
54,24-02-2017,99.55,53.22,8.09,1.25,75.59,,231.8333333,66.525,10.1125,62.5,75.59,,231.8333333
55,25-02-2017,75.85,38.35,15.26,1.03,115.21,,152.8333333,47.9375,19.075,51.5,122.3676471,,152.8333333
56,26-02-2017,89.75,51.01,17.43,1.16,86.44,,199.1666667,63.7625,21.7875,58,86.44,,199.1666667
57,27-02-2017,124.23,70.03,17.79,1.85,63.95,,303.2538462,87.5375,22.2375,92.5,63.95,,303.2538462
58,28-02-2017,116.57,76.43,15.27,1.49,65.07,,288.5666667,95.5375,19.0875,74.5,65.07,,288.5666667
59,01-03-2017,96.78,67.69,14.35,1.51,76.96,,222.6,84.6125,17.9375,75.5,76.96,,222.6
60,02-03-2017,69.33,45.83,14.27,1.16,117.21,,131.1,57.2875,17.8375,58,125.3088235,,131.1
61,03-03-2017,36.9,42.18,14.25,1.06,87.03,,61.5,52.725,17.8125,53,87.03,,87.03
62,04-03-2017,36.93,35.12,4.64,1.05,85.91,,61.55,43.9,5.8,52.5,85.91,,85.91
63,05-03-2017,30.35,20.08,5.33,0.51,51.82,,50.58333333,25.1,6.6625,25.5,51.82,,51.82
64,06-03-2017,32.39,23.88,11.35,0.94,52.25,,53.98333333,29.85,14.1875,47,52.25,,53.98333333
65,07-03-2017,35.27,30.77,13.48,1.03,39.41,,58.78333333,38.4625,16.85,51.5,39.41,,58.78333333
66,08-03-2017,40.24,27.72,15.55,0.91,74.26,,67.06666667,34.65,19.4375,45.5,74.26,,74.26
67,09-03-2017,44.32,24.85,13.87,0.99,62.64,,73.86666667,31.0625,17.3375,49.5,62.64,,73.86666667
68,10-03-2017,32.21,32.21,13.14,0.95,53.34,,53.68333333,40.2625,16.425,47.5,53.34,,53.68333333
69,11-03-2017,34.4,37.49,15.1,0.84,67.76,,57.33333333,46.8625,18.875,42,67.76,,67.76
70,12-03-2017,64.42,40.59,13.65,1.05,91.9,,114.7333333,50.7375,17.0625,52.5,91.9,,114.7333333
71,13-03-2017,52.28,44.46,14.79,1.09,103.84,,87.13333333,55.575,18.4875,54.5,105.6470588,,105.6470588
72,14-03-2017,35.52,29.88,15,0.94,51.89,,59.2,37.35,18.75,47,51.89,,59.2
73,15-03-2017,19.67,23.16,14.5,0.87,43.32,,32.78333333,28.95,18.125,43.5,43.32,,43.5
74,16-03-2017,28.46,34.01,13.8,0.95,74.75,,47.43333333,42.5125,17.25,47.5,74.75,,74.75
75,17-03-2017,61.46,54.09,15.26,1.07,58.34,,104.8666667,67.6125,19.075,53.5,58.34,,104.8666667
76,18-03-2017,85.74,73.95,14.99,1.39,46.71,,185.8,92.4375,18.7375,69.5,46.71,,185.8
77,19-03-2017,110.61,85.78,17.14,1.79,40.79,,268.7,105.78,21.425,89.5,40.79,,268.7
78,20-03-2017,55.96,48.86,15.12,1.08,48.57,,93.26666667,61.075,18.9,54,48.57,,93.26666667
79,21-03-2017,53.83,60.63,15.08,1.03,56.83,,89.71666667,75.7875,18.85,51.5,56.83,,89.71666667
80,22-03-2017,69.24,60.05,15.28,1.36,47.55,,130.8,75.0625,19.1,68,47.55,,130.8
81,23-03-2017,86.05,45.15,16.44,1.6,51.5,,186.8333333,56.4375,20.55,80,51.5,,186.8333333
82,24-03-2017,63.19,34.8,15.12,1.27,60.58,,110.6333333,43.5,18.9,63.5,60.58,,110.6333333
83,25-03-2017,61.51,24.25,18.93,1.11,86.98,,105.0333333,30.3125,23.6625,55.5,86.98,,105.0333333
84,26-03-2017,73.29,26.74,15.83,1.28,76.13,,144.3,33.425,19.7875,64,76.13,,144.3
85,27-03-2017,60.75,25.23,13.89,1.17,71.64,,102.5,31.5375,17.3625,58.5,71.64,,102.5
86,28-03-2017,60.51,34.42,13.54,1.27,64.55,,101.7,43.025,16.925,63.5,64.55,,101.7
87,29-03-2017,49.11,24.4,14.35,0.97,70.68,,81.85,30.5,17.9375,48.5,70.68,,81.85
88,30-03-2017,49.44,37.15,15.39,1.13,65.08,,82.4,46.4375,19.2375,56.5,65.08,,82.4
89,31-03-2017,44.42,32.79,14.35,1.02,69.65,,74.03333333,40.9875,17.9375,51,69.65,,74.03333333
90,01-04-2017,41.61,30.58,15.16,1,77.32,,69.35,38.225,18.95,50,77.32,,77.32
91,02-04-2017,52.52,35.02,14.29,1.12,74.3,,87.53333333,43.775,17.8625,56,74.3,,87.53333333
92,03-04-2017,48.93,29.02,14.1,1.03,69.36,,81.55,36.275,17.625,51.5,69.36,,81.55
93,04-04-2017,41.32,38.1,14.05,1.15,47.96,,68.86666667,47.625,17.5625,57.5,47.96,,68.86666667
94,05-04-2017,53.78,44.32,15.37,1.22,42.06,,89.63333333,55.4,19.2125,61,42.06,,89.63333333
95,06-04-2017,57.66,51.06,15.19,1.21,56.46,,96.1,63.825,18.9875,60.5,56.46,,96.1
96,07-04-2017,57.99,35.54,67.87,1.94,46.88,,96.65,44.425,84.8375,97,46.88,,97
97,08-04-2017,67.7,43.8,18.99,1.35,58.59,,125.6666667,54.75,23.7375,67.5,58.59,,125.6666667
98,09-04-2017,57.04,32.67,4.53,0.88,81.17,,95.06666667,40.8375,5.6625,44,81.17,,95.06666667
99,10-04-2017,71.12,39.35,16.9,1.28,75.73,,137.0666667,49.1875,21.125,64,75.73,,137.0666667
100,11-04-2017,56.62,41.17,18,0.55,100.07,,94.36666667,51.4625,22.5,27.5,100.1029412,,100.1029412
101,12-04-2017,163.08,106.31,14.59,1.43,12.52,,333.1384615,126.31,18.2375,71.5,12.52,,333.1384615
102,13-04-2017,65.82,55.53,16.77,1.49,89.22,,119.4,69.4125,20.9625,74.5,89.22,,119.4
103,14-04-2017,60.71,42.39,14.66,1.27,83.5,,102.3666667,52.9875,18.325,63.5,83.5,,102.3666667
104,15-04-2017,57.35,42.67,15.29,1.4,68.52,,95.58333333,53.3375,19.1125,70,68.52,,95.58333333
105,16-04-2017,72.28,50.44,15.63,2.19,72.37,,140.9333333,63.05,19.5375,102.375,72.37,,140.9333333
106,17-04-2017,86.52,61.76,18.3,1.66,62.4,,188.4,77.2,22.875,83,62.4,,188.4
107,18-04-2017,91.69,70.45,17.08,1.89,54.11,,205.6333333,88.0625,21.35,94.5,54.11,,205.6333333
108,19-04-2017,50.79,27.86,14.14,1.01,57.81,,84.65,34.825,17.675,50.5,57.81,,84.65
109,20-04-2017,57.3,57.14,15.18,1.51,47.24,,95.5,71.425,18.975,75.5,47.24,,95.5
110,21-04-2017,68.56,58.34,14.89,1.28,51.16,,128.5333333,72.925,18.6125,64,51.16,,128.5333333
111,22-04-2017,63.66,50.04,15.1,1.35,56.19,,112.2,62.55,18.875,67.5,56.19,,112.2
112,23-04-2017,67.82,47.64,15.37,1.14,55.44,,126.0666667,59.55,19.2125,57,55.44,,126.0666667
113,24-04-2017,61.75,39.51,16.5,1.13,55.56,,105.8333333,49.3875,20.625,56.5,55.56,,105.8333333
114,25-04-2017,46.21,28.7,6,0,74.5,,77.01666667,35.875,7.5,0,74.5,,77.01666667
115,26-04-2017,46.21,28.7,8.21,0.67,26.38,,77.01666667,35.875,10.2625,33.5,26.38,,77.01666667
116,27-04-2017,18.4,33.46,7,0.57,84.89,,30.66666667,41.825,8.75,28.5,84.89,,84.89
117,28-04-2017,21.75,27.56,4.91,0.45,77.56,,36.25,34.45,6.1375,22.5,77.56,,77.56
118,29-04-2017,33.9,43.7,17.49,1.25,72.36,,56.5,54.625,21.8625,62.5,72.36,,72.36
119,30-04-2017,27.45,20.89,4.02,0.2,65.74,,45.75,26.1125,5.025,10,65.74,,65.74
120,01-05-2017,25.37,20.84,21.69,0.4,111.82,,42.28333333,26.05,27.1125,20,117.3823529,,117.3823529
121,02-05-2017,23.78,21.82,5.75,0.35,69.08,,39.63333333,27.275,7.1875,17.5,69.08,,69.08
122,03-05-2017,29.86,18.15,40.77,2.29,83.39,,49.76666667,22.6875,50.9625,103.625,83.39,,103.625
123,04-05-2017,45.56,16.15,49.04,0.37,105.09,,75.93333333,20.1875,61.3,18.5,107.4852941,,107.4852941
124,05-05-2017,50.25,18.6,8.21,0.35,98.88,,83.75,23.25,10.2625,17.5,98.88,,98.88
125,06-05-2017,51.31,52.74,20.24,1.62,76.16,,85.51666667,65.925,25.3,81,76.16,,85.51666667
126,07-05-2017,43.79,28.3,13.91,0.97,51.55,,72.98333333,35.375,17.3875,48.5,51.55,,72.98333333
127,08-05-2017,41.22,28.57,14.8,0.85,71.61,,68.7,35.7125,18.5,42.5,71.61,,71.61
128,09-05-2017,42.59,39.41,14.19,1.06,65.14,,70.98333333,49.2625,17.7375,53,65.14,,70.98333333
129,10-05-2017,42.5,60.34,19.38,1.57,61.65,,70.83333333,75.425,24.225,78.5,61.65,,78.5
130,11-05-2017,38.07,35.99,13,0.9,62.55,,63.45,44.9875,16.25,45,62.55,,63.45
131,12-05-2017,44.14,32.95,14.01,1,48.58,,73.56666667,41.1875,17.5125,50,48.58,,73.56666667
132,13-05-2017,49.76,40.64,13.11,1.07,55.67,,82.93333333,50.8,16.3875,53.5,55.67,,82.93333333
133,14-05-2017,45.77,30.24,13.59,0.97,66.36,,76.28333333,37.8,16.9875,48.5,66.36,,76.28333333
134,15-05-2017,35.89,16.64,21.62,1.2,63.18,,59.81666667,20.8,27.025,60,63.18,,63.18
135,16-05-2017,46.21,28.7,8.21,0.67,26.38,,77.01666667,35.875,10.2625,33.5,26.38,,77.01666667
136,17-05-2017,46.21,28.7,8.21,0.67,26.38,,77.01666667,35.875,10.2625,33.5,26.38,,77.01666667
137,18-05-2017,82.21,66.54,7.95,0.89,50.07,,174.0333333,83.175,9.9375,44.5,50.07,,174.0333333
138,19-05-2017,62.89,43.69,16.19,1.34,48.99,,109.6333333,54.6125,20.2375,67,48.99,,109.6333333
139,20-05-2017,38.66,29.11,15.8,0.85,65.12,,64.43333333,36.3875,19.75,42.5,65.12,,65.12
140,21-05-2017,44.24,39.45,20.34,1.16,78.85,,73.73333333,49.3125,25.425,58,78.85,,78.85
141,22-05-2017,43.66,32.87,13.61,1.2,67.57,,72.76666667,41.0875,17.0125,60,67.57,,72.76666667
142,23-05-2017,59.83,51.35,14.7,1.24,49.24,,99.71666667,64.1875,18.375,62,49.24,,99.71666667
143,24-05-2017,52.8,29.37,14.6,0.96,74.87,,88,36.7125,18.25,48,74.87,,88
144,25-05-2017,45.22,22.28,13.55,0.91,77.88,,75.36666667,27.85,16.9375,45.5,77.88,,77.88
145,26-05-2017,50.86,24.39,14.65,0.91,58.03,,84.76666667,30.4875,18.3125,45.5,58.03,,84.76666667
146,27-05-2017,35.12,21.2,5.13,0.4,43.3,,58.53333333,26.5,6.4125,20,43.3,,58.53333333
147,28-05-2017,36.44,19.75,5.22,0.37,58.64,,60.73333333,24.6875,6.525,18.5,58.64,,60.73333333
148,29-05-2017,28.18,21.01,5.53,0.36,40.56,,46.96666667,26.2625,6.9125,18,40.56,,46.96666667
149,30-05-2017,25.74,16.18,4.79,0.27,28.16,,42.9,20.225,5.9875,13.5,28.16,,42.9
150,31-05-2017,21.15,15.66,5.01,0.32,30.33,,35.25,19.575,6.2625,16,30.33,,35.25
151,01-06-2017,23.32,24.91,3.88,0.5,29.23,,38.86666667,31.1375,4.85,25,29.23,,38.86666667
152,02-06-2017,28.86,27.79,4.28,0.57,32.53,,48.1,34.7375,5.35,28.5,32.53,,48.1
153,03-06-2017,43.76,18.63,5.44,0.38,38.88,,72.93333333,23.2875,6.8,19,38.88,,72.93333333
154,04-06-2017,23.91,33.6,3.97,0.82,48.8,,39.85,42,4.9625,41,48.8,,48.8
155,05-06-2017,27.55,20.03,4.27,0.32,42.57,,45.91666667,25.0375,5.3375,16,42.57,,45.91666667
156,06-06-2017,29.8,20.86,4.33,0.37,49.31,,49.66666667,26.075,5.4125,18.5,49.31,,49.66666667
157,07-06-2017,20.53,14.97,4.06,0.29,48.05,,34.21666667,18.7125,5.075,14.5,48.05,,48.05
158,08-06-2017,22.06,20.33,4.56,0.36,35.64,,36.76666667,25.4125,5.7,18,35.64,,36.76666667
159,09-06-2017,24.59,20.81,11.38,0.91,37.01,,40.98333333,26.0125,14.225,45.5,37.01,,45.5
160,10-06-2017,18.74,19.49,15.19,1.01,41.96,,31.23333333,24.3625,18.9875,50.5,41.96,,50.5
161,11-06-2017,15.74,17.21,13.54,0.87,22.98,,26.23333333,21.5125,16.925,43.5,22.98,,43.5
162,12-06-2017,12.24,13.58,12.47,0.44,22.1,,20.4,16.975,15.5875,22,22.1,,22.1
163,13-06-2017,17.23,24.28,12.45,0.93,18.61,,28.71666667,30.35,15.5625,46.5,18.61,,46.5
164,14-06-2017,32.72,29.59,13.38,0.98,33.54,,54.53333333,36.9875,16.725,49,33.54,,54.53333333
165,15-06-2017,26.68,25.69,14.64,0.82,25.38,,44.46666667,32.1125,18.3,41,25.38,,44.46666667
166,16-06-2017,21.55,22.71,12.79,0.81,29.96,,35.91666667,28.3875,15.9875,40.5,29.96,,40.5
167,17-06-2017,24.39,23.24,12.51,0.88,30.37,,40.65,29.05,15.6375,44,30.37,,44
168,18-06-2017,24.44,17.32,13.74,0.8,29.71,,40.73333333,21.65,17.175,40,29.71,,40.73333333
169,19-06-2017,24.01,26.17,13.32,0.89,14.64,,40.01666667,32.7125,16.65,44.5,14.64,,44.5
170,20-06-2017,18.68,17.74,12.4,0.82,16.08,,31.13333333,22.175,15.5,41,16.08,,41
171,21-06-2017,20.03,18.31,13.72,0.75,19.19,,33.38333333,22.8875,17.15,37.5,19.19,,37.5
172,22-06-2017,23.62,18.55,12.47,1,16.54,,39.36666667,23.1875,15.5875,50,16.54,,50
173,23-06-2017,22.8,23.04,14.02,0.91,12.11,,38,28.8,17.525,45.5,12.11,,45.5
174,24-06-2017,21.76,15.98,13.14,0.73,21.47,,36.26666667,19.975,16.425,36.5,21.47,,36.5
175,25-06-2017,25.83,16.33,12.64,0.81,17.64,,43.05,20.4125,15.8,40.5,17.64,,43.05
176,26-06-2017,17.97,11.97,14.01,0.76,17.35,,29.95,14.9625,17.5125,38,17.35,,38
177,27-06-2017,18.8,13,13.26,0.72,19.85,,31.33333333,16.25,16.575,36,19.85,,36
178,28-06-2017,19.51,15.8,13.86,0.78,16.93,,32.51666667,19.75,17.325,39,16.93,,39
179,29-06-2017,19.32,16.13,12.96,0.75,20.51,,32.2,20.1625,16.2,37.5,20.51,,37.5
180,30-06-2017,22.08,15.2,12.94,0.77,22.17,,36.8,19,16.175,38.5,22.17,,38.5
181,01-07-2017,19.9,14.53,12.18,0.78,20.23,,33.16666667,18.1625,15.225,39,20.23,,39
182,02-07-2017,21.9,15.25,13.24,0.91,18.8,,36.5,19.0625,16.55,45.5,18.8,,45.5
183,03-07-2017,19.05,16.29,13.31,0.86,18.8,,31.75,20.3625,16.6375,43,18.8,,43
184,04-07-2017,21.95,15.51,12.26,0.72,19.23,,36.58333333,19.3875,15.325,36,19.23,,36.58333333
185,05-07-2017,19.29,17.09,32.49,1.72,18.15,,32.15,21.3625,40.6125,86,18.15,,86
186,06-07-2017,24.12,21.81,14.4,0.91,18.39,,40.2,27.2625,18,45.5,18.39,,45.5
187,07-07-2017,24.94,21.76,12.39,0.86,19.59,,41.56666667,27.2,15.4875,43,19.59,,43
188,08-07-2017,26.18,19.48,12.4,0.81,24.81,,43.63333333,24.35,15.5,40.5,24.81,,43.63333333
189,09-07-2017,25.6,21.68,11.54,0.82,25.18,,42.66666667,27.1,14.425,41,25.18,,42.66666667
190,10-07-2017,22.84,18.36,12.31,0.77,23.82,,38.06666667,22.95,15.3875,38.5,23.82,,38.5
191,11-07-2017,21.96,17.38,12.17,0.73,22.03,,36.6,21.725,15.2125,36.5,22.03,,36.6
192,12-07-2017,20.1,15.81,12.29,0.71,21.79,,33.5,19.7625,15.3625,35.5,21.79,,35.5
193,13-07-2017,18.48,17.42,13.35,0.78,16.86,,30.8,21.775,16.6875,39,16.86,,39
194,14-07-2017,18.12,15.69,14.18,0.74,14.26,,30.2,19.6125,17.725,37,14.26,,37
195,15-07-2017,24.58,16.98,13.46,0.79,17.29,,40.96666667,21.225,16.825,39.5,17.29,,40.96666667
196,16-07-2017,18.35,16.34,13.46,0.79,13.92,,30.58333333,20.425,16.825,39.5,13.92,,39.5
197,17-07-2017,17.16,15.32,12.81,0.69,11.9,,28.6,19.15,16.0125,34.5,11.9,,34.5
198,18-07-2017,14.48,16.45,14.24,0.73,12.14,,24.13333333,20.5625,17.8,36.5,12.14,,36.5
199,19-07-2017,14.62,17.37,13.67,0.78,12.46,,24.36666667,21.7125,17.0875,39,12.46,,39
200,20-07-2017,12.36,11.32,12.91,0.75,15.36,,20.6,14.15,16.1375,37.5,15.36,,37.5
201,21-07-2017,23.94,14.19,12.81,0.74,15.73,,39.9,17.7375,16.0125,37,15.73,,39.9
202,22-07-2017,17.97,13.67,12.44,0.73,19.4,,29.95,17.0875,15.55,36.5,19.4,,36.5
203,23-07-2017,19.14,11.73,12.09,0.75,22.37,,31.9,14.6625,15.1125,37.5,22.37,,37.5
204,24-07-2017,18.93,12.54,13.45,0.74,22.57,,31.55,15.675,16.8125,37,22.57,,37
205,25-07-2017,46.21,28.7,8.21,0.67,26.38,,77.01666667,35.875,10.2625,33.5,26.38,,77.01666667
206,26-07-2017,21.69,15.2,5.16,1.07,25,,36.15,19,6.45,53.5,25,,53.5
207,27-07-2017,20.13,16.1,13.64,0.28,21.81,,33.55,20.125,17.05,14,21.81,,33.55
208,28-07-2017,18.93,17.81,13.19,0.8,17.51,,31.55,22.2625,16.4875,40,17.51,,40
209,29-07-2017,20.42,19.62,13.85,0.83,17.23,,34.03333333,24.525,17.3125,41.5,17.23,,41.5
210,30-07-2017,25.52,18.1,12.6,0.72,20.65,,42.53333333,22.625,15.75,36,20.65,,42.53333333
211,31-07-2017,25.16,18.66,13.55,0.86,25.22,,41.93333333,23.325,16.9375,43,25.22,,43
212,01-08-2017,19.58,18.06,13.76,0.79,20.46,,32.63333333,22.575,17.2,39.5,20.46,,39.5
213,02-08-2017,14.87,11.54,20.61,0.19,21.97,,24.78333333,14.425,25.7625,9.5,21.97,,25.7625
214,03-08-2017,17.57,14.65,17.59,1.03,18.56,,29.28333333,18.3125,21.9875,51.5,18.56,,51.5
215,04-08-2017,22.45,17.56,12.99,0.8,17.53,,37.41666667,21.95,16.2375,40,17.53,,40
216,05-08-2017,24.94,18,4.65,0.78,22.16,,41.56666667,22.5,5.8125,39,22.16,,41.56666667
217,06-08-2017,32.28,18.59,12.68,0.74,26.03,,53.8,23.2375,15.85,37,26.03,,53.8
218,07-08-2017,35.95,27.53,13.78,0.94,15.61,,59.91666667,34.4125,17.225,47,15.61,,59.91666667
219,08-08-2017,31.66,21.78,12.8,0.82,19.91,,52.76666667,27.225,16,41,19.91,,52.76666667
220,09-08-2017,28.95,24.87,13.35,1.03,12.51,,48.25,31.0875,16.6875,51.5,12.51,,51.5
221,10-08-2017,24.12,19.65,12.77,0.92,11.49,,40.2,24.5625,15.9625,46,11.49,,46
222,11-08-2017,33.11,26.11,14.76,1.47,14.83,,55.18333333,32.6375,18.45,73.5,14.83,,73.5
223,12-08-2017,24.76,18.77,12.47,0.86,15.43,,41.26666667,23.4625,15.5875,43,15.43,,43
224,13-08-2017,38.75,31.95,6.85,0.59,1.05,,64.58333333,39.9375,8.5625,29.5,1.05,,64.58333333
225,14-08-2017,32.4,23.15,4.25,0.57,14.87,,54,28.9375,5.3125,28.5,14.87,,54
226,15-08-2017,31.13,21.32,4.81,0.39,14.18,,51.88333333,26.65,6.0125,19.5,14.18,,51.88333333
227,16-08-2017,30.43,19.42,13.38,0.41,15.29,,50.71666667,24.275,16.725,20.5,15.29,,50.71666667
228,17-08-2017,31.79,22.32,12.96,0.82,16.96,,52.98333333,27.9,16.2,41,16.96,,52.98333333
229,18-08-2017,30.3,21.66,12.8,0.78,15.17,,50.5,27.075,16,39,15.17,,50.5
230,19-08-2017,25.17,17.88,13.1,0.72,13.54,,41.95,22.35,16.375,36,13.54,,41.95
231,20-08-2017,13.78,15.17,14.41,0.79,19.99,,22.96666667,18.9625,18.0125,39.5,19.99,,39.5
232,21-08-2017,19.64,18.4,13.32,0.91,25.08,,32.73333333,23,16.65,45.5,25.08,,45.5
233,22-08-2017,29.23,23.63,13.3,1.03,15.1,,48.71666667,29.5375,16.625,51.5,15.1,,51.5
234,23-08-2017,27.76,23.06,13.38,0.75,18.23,,46.26666667,28.825,16.725,37.5,18.23,,46.26666667
235,24-08-2017,31.94,21.5,14.49,1.06,15.83,,53.23333333,26.875,18.1125,53,15.83,,53.23333333
236,25-08-2017,22.96,14.12,14.71,0.77,17.43,,38.26666667,17.65,18.3875,38.5,17.43,,38.5
237,26-08-2017,24.86,20.71,15.83,1.03,10.77,,41.43333333,25.8875,19.7875,51.5,10.77,,51.5
238,27-08-2017,22.32,15.7,15.41,0.48,14.89,,37.2,19.625,19.2625,24,14.89,,37.2
239,28-08-2017,18.05,18.98,4.12,0.46,11.93,,30.08333333,23.725,5.15,23,11.93,,30.08333333
240,29-08-2017,10.09,20.31,20.05,0.72,2.62,,16.81666667,25.3875,25.0625,36,2.62,,36
241,30-08-2017,20.1,18.64,17.39,0.41,13.74,,33.5,23.3,21.7375,20.5,13.74,,33.5
